project_id,title,description,operating_unit,budget,expense
124267,Panama Cyan Economy,"Integration of the blue economy with the green economy, thereby creating a ‘cyan’ mixture unique to Panama and raising its global profile as a leader in sustainable development",Panama,60600,21742
119449,Roadmap Study for the EU Pathway of North Macedonia,"The study will assist policy makers, economic agents and society at large in developing a strong body of evidence and analytics for understanding EU accession impact on the country’s aspirations for accelerated, inclusive and sustainable growth.",North Macedonia,60462,35311
84741,BRA/14/G72 - ODS (Ozone-Depletion Substance) waste management and disposal,"MLF Reference N. BRA/DES/72/DEM/305
Demo project to demonstrate an environmentally sound, efficient and cost effective management and disposal of ODS waste management system in Brazil.",Brazil,60333,55158
105799,Promotion de l'accès à la justice au Burkina Faso,"Le projet vise à fournir une assistance pour l’accès à la justice des personnes démunies, notamment les femmes en conflits avec la loi .",Burkina Faso,60298,22422
126012,Appui à la mobilisation de la finance climatique,Appuyer le gouvernement du Togo dans la mobilisation des ressources et des partenariats pour le financement des actions d'atténuation des emission de gaz à effet de serre et de résilience des populations vulnérables,Togo,60230,1834
113912,Support to Innovation Lab at BIPA,"Creation of a Public Administration Innovation Lab infrastructure at BIPA, through which public administration solutions will be initiated and facilitated; and innovative policies and services will be promoted.",Bahrain,60107,56491
120726,Accelerator Lab – Nepal,"Build a network of 60 Country Accelerator Labs as the largest, fastest global learning network on development challenges.",Nepal,60101,31074
78703,"Participation du PNUD au projet pilote "" Sites et Servic","Le projet « Participation du PNUD au projet pilote "" Sites et Services "" » vise à mettre en œuvre la composante unités sanitaires et assainissement sensible au genre financé par le gouvernement chilien selon l'approche dite Sites et Services.",Haiti,60000,34064
82660,RESILIENCE DES FEMMES ET ENFANTS AU CC,Renforcement de la resilience et de la capacité d'adaptation des femmes et enfants au changement climatique en RD Congo,Democratic Republic of Congo,60000,12646
95648,Bringing down barriers to peace: opening of new crossing,Support to the Technical Committee on crossings with the opening of new crossing points in support of confidence building measures between the communities in Cyprus,Cyprus,60000,30000
107322,Initiation Plan - GEF PPG,Capacity-building for establishing an Integrated and Enhanced Transparency Framework for Climate actions and support measures,India,60000,36986
120965,Programme d’Urgences Sociales,"Le Programme d’Urgences Sociales vise la réalisation d’un paquet d’interventions multisectorielles pour réduire la pauvreté et les inégalités régionales, spatiales et accélérer le processus de développement socio-économique du Mali.",Mali,60000,0
124998,Acompañamiento a procesos democracia sindical,Fortalecimiento de los procesos participativos e inclusivos en el marco de la implementación de la reforma al sistema de justicia laboral en México,Mexico,60000,40168
125315,Management Plan 2020-2022,Managing the Office structure and day-to-day implementation,Ghana,60000,20846
126339,Harnessing the Blue Economy Potential in Coastal Communi,Harnessing the Blue Economy Potential in Coastal Communi,Sierra Leone,60000,0
127302,Environment and Resilient Development Project,Environment and Resilient Development Project,Uganda,60000,16874
129101,Engagement Facility - Bahamas,To support The Bahamas in undertaking an inclusive and transparent process to meet its commitments in addressing climate change and enhance their Nationally Determined Contributions (NDCs,Jamaica,60000,0
128306,IPC128306 - Social Protection support to UNICEF MENARO,Provide Technical Assistance to UNICEF Country Offices in the region by supporting activities related to social protection responses,Brazil,59940,24424
112903,Innovation for Development - Youth and Entrepreneurship,"The project aims to build the capacity of individuals (young) and institutions in the field of innovation and entrepreneurship, enhancing the entrepreneurship ecosystem and build social capital.",Iraq,59860,18823
125464,Plastic waste management at the local level,The project objective is to minimize negative impacts and risks to environment and to human health through promoting sustainable plastic waste management practices at the local level.,Ukraine,59507,13404
120689,Communications & Advocacy for the SDGs-Engagement Facil,"Supports the advocacy process of adoption of the 2030 NDS by the Government  and Parliament of Moldova, raise awareness around the 17 Global Goals by engaging influencers and communicate widely the sectoral results of UNDP Moldova","Moldova, Republic of",59250,11173
101031,INFORME NACIONAL DE DESARROLLO HUMANO EN CUBA,Informe Nacional de Desarrollo Humano en Cuba: la perspectiva local del Desarrollo Humano.,Cuba,59005,469
88792,CCMI DJIBOUTI FUNDING,Appui au Fonctionnement du CCMI de Djibouti,Djibouti,59000,43247
127933,Business and Human rights,Promouvoir le respect des droits humains dans les chaines de valeur des filières économiques : secteur de la pêche dans le Gouvernorat de Médenine.,Tunisia,58968,0
103058,Procurement of health products,Procurement of health products for Ministry of Health and Medical Industry of Turkmenistan,Turkmenistan,58955,41057
119625,Tashkent - Accelerating Investments in Low-Emission Veh,"This project aims to accelerate the adoption of electric vehicles in the City of Tashkent that can be replicated in other cities in RUz, significantly reduce greenhouse gas emissions in the transport sector, and improve urban environmental quality.",Uzbekistan,58824,28730
118608,Mainstreaming biodiversity IP,The objective of the GEF PPG is to develop the project concept into a full project: Mainstreaming biodiversity conservation criteria in sectoral and intersectoral public policies and programs to safeguard threatened wildlife in Argentina.,Argentina,58275,36426
95168,BRA/16/G71 - Institutional Strengthening (phase VIII),O objetivo do projeto é contribuir para a proteção da camada de ozônio por meio do apoio ao Governo brasileiro na implementação dos compromissos assumidos perante o Protocolo de Montreal.,Brazil,58121,10136
126111,Plastic Waste Management,Building Circular Cities Starting From Plastic Waste Management,Bangladesh,58082,0
130260,Promoting SDG financing in Ukraine,Integrated response to the need of the Ukrainian government to optimize resource allocation towards national development ambitions and their alignment with the SDGs agenda.,Ukraine,58048,531
109765,Acceso al agua en el departamento del Beni,"Fortalecimiento a la Federación de Ganaderos del Beni para enfrentar la sequía, aumentar el acceso al agua y mejorar su producción para seguridad alimentaria; y el acceso al agua a comunidades indígena originario campesinas, urbanas y rurales",Bolivia,57942,3542
81601,Bhutan CO Direct Project Costing (DPC)  Project,Standalone DPC project to pre-finance cost of staff chargeable to Development Projects.,Bhutan,57892,-17405
115709,HEWAR Community Dialogue for Social Cohesion in Jordan,this project will establish community-driven dialogue processes on social cohesion priorities in two pilot municipalities in Jordan.,Jordan,57790,40869
131057,Solar Revolution for Transforming Lives,A National Solar Fund (“Fund”) will be used to significantly increase the availability and utilization of solar systems throughout Sudan,"Sudan, Republic of the",57500,0
96234,Sistema Nacional de Salud Pública: Implementación de la,La propuesta resultante del proceso de diálogo denominada “Lineamientos propuestos para la Mejora y Fortalecimiento del Sistema de Salud Integral en el Marco de una Política de Estado”.,Panama,57493,59673
102303,Engagement Facility,Engagement Facility,Rwanda,57418,10000
